activity_a,activity_b,capacity_a,capacity_b,count,weighted
Latin,Design & Tech Tutoring (Jones only),<bound method EighthActivity.capacity of <EighthActivity: Latin>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Jones only)>>,36,1.28571428571429
Rotary Interact,CS: Lab 211,<bound method EighthActivity.capacity of <EighthActivity: Rotary Interact>>,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,36,0.666666666666667
TWIST,Amnesty International,<bound method EighthActivity.capacity of <EighthActivity: TWIST>>,<bound method EighthActivity.capacity of <EighthActivity: Amnesty International>>,36,0.580645161290323
TWIST,Future Problem Solving,<bound method EighthActivity.capacity of <EighthActivity: TWIST>>,<bound method EighthActivity.capacity of <EighthActivity: Future Problem Solving>>,36,0.272727272727273
Biology Society,French Honor Society,<bound method EighthActivity.capacity of <EighthActivity: Biology Society>>,<bound method EighthActivity.capacity of <EighthActivity: French Honor Society>>,36,0.428571428571429
Chem.Tutoring/Makeups (Jones),TWIST,<bound method EighthActivity.capacity of <EighthActivity: Chem.Tutoring/Makeups (Jones)>>,<bound method EighthActivity.capacity of <EighthActivity: TWIST>>,36,0.6
Biology Society,Amnesty International,<bound method EighthActivity.capacity of <EighthActivity: Biology Society>>,<bound method EighthActivity.capacity of <EighthActivity: Amnesty International>>,36,0.620689655172414
Red Cross Youth Task Force,UNICEF,<bound method EighthActivity.capacity of <EighthActivity: Red Cross Youth Task Force>>,<bound method EighthActivity.capacity of <EighthActivity: UNICEF>>,36,0.571428571428571
Little Sunshine,Band,<bound method EighthActivity.capacity of <EighthActivity: Little Sunshine>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,36,0.349514563106796
Aerospace Initiative (formerly Rocketry Club),Namaste,<bound method EighthActivity.capacity of <EighthActivity: Aerospace Initiative (formerly Rocketry Club)>>,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,36,0.342857142857143
Debate: Congressional,Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Debate: Congressional>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,36,0.620689655172414
Debate: Congressional,Band,<bound method EighthActivity.capacity of <EighthActivity: Debate: Congressional>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,36,0.349514563106796
Namaste,Product Design Club,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,<bound method EighthActivity.capacity of <EighthActivity: Product Design Club>>,36,0.36734693877551
Spanish Tertulia (Pou) Level 2,UNICEF,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia (Pou) Level 2>>,<bound method EighthActivity.capacity of <EighthActivity: UNICEF>>,36,0.692307692307692
Lab 16 - AP Comp Sci,Japanese National Honor Society,<bound method EighthActivity.capacity of <EighthActivity: Lab 16 - AP Comp Sci>>,<bound method EighthActivity.capacity of <EighthActivity: Japanese National Honor Society>>,36,0.620689655172414
Chemistry Team,Machine Learning Club,<bound method EighthActivity.capacity of <EighthActivity: Chemistry Team>>,<bound method EighthActivity.capacity of <EighthActivity: Machine Learning Club>>,36,0.529411764705882
TWIST,Relay For Life,<bound method EighthActivity.capacity of <EighthActivity: TWIST>>,<bound method EighthActivity.capacity of <EighthActivity: Relay For Life>>,36,0.537313432835821
FBLA-Future Business Leaders of America,Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: FBLA-Future Business Leaders of America>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,36,0.409090909090909
Namaste,UNICEF,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,<bound method EighthActivity.capacity of <EighthActivity: UNICEF>>,36,0.36734693877551
Biology Society,Art Club,<bound method EighthActivity.capacity of <EighthActivity: Biology Society>>,<bound method EighthActivity.capacity of <EighthActivity: Art Club>>,36,0.642857142857143
Aerospace Initiative (formerly Rocketry Club),TSA - Technology Student Assn (R),<bound method EighthActivity.capacity of <EighthActivity: Aerospace Initiative (formerly Rocketry Club)>>,<bound method EighthActivity.capacity of <EighthActivity: TSA - Technology Student Assn (R)>>,36,0.514285714285714
Environmental Science Club,Latin Honor Society,<bound method EighthActivity.capacity of <EighthActivity: Environmental Science Club>>,<bound method EighthActivity.capacity of <EighthActivity: Latin Honor Society>>,32,0.571428571428571
Lab 15 - CS Foundations,Medical Society,<bound method EighthActivity.capacity of <EighthActivity: Lab 15 - CS Foundations>>,<bound method EighthActivity.capacity of <EighthActivity: Medical Society>>,32,0.4
Awesome Association,Science Fiction & Fantasy Writers,<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: Science Fiction & Fantasy Writers>>,32,0.551724137931034
Lab 8: Prototyping Lab,Orchestra,<bound method EighthActivity.capacity of <EighthActivity: Lab 8: Prototyping Lab>>,<bound method EighthActivity.capacity of <EighthActivity: Orchestra>>,32,0.376470588235294
Athletic Injury Clinic,Innovations in Concepts of Engineering (ICE),<bound method EighthActivity.capacity of <EighthActivity: Athletic Injury Clinic>>,<bound method EighthActivity.capacity of <EighthActivity: Innovations in Concepts of Engineering (ICE)>>,32,0.8
Assistive Technology Club,Debate: Lincoln-Douglas,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Lincoln-Douglas>>,32,0.551724137931034
Lab 211 - Open Computer Lab,Neuroscience Society,<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,32,0.41025641025641
Awesome Association,Mock Trial Club,<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: Mock Trial Club>>,32,0.551724137931034
Neuroscience Society,Latin:,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,<bound method EighthActivity.capacity of <EighthActivity: Latin:>>,32,0.41025641025641
Awesome Association,JRR Tolkien Fellowship,<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: JRR Tolkien Fellowship>>,32,0.551724137931034
Awesome Association,Mobile Apps Club,<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: Mobile Apps Club>>,32,0.484848484848485
Awesome Association,Sports Statistics,<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: Sports Statistics>>,32,0.551724137931034
Latin Honor Society,Latin:,<bound method EighthActivity.capacity of <EighthActivity: Latin Honor Society>>,<bound method EighthActivity.capacity of <EighthActivity: Latin:>>,32,0.571428571428571
Cultivators of the Earth,Lab 16 - AP Comp Sci,<bound method EighthActivity.capacity of <EighthActivity: Cultivators of the Earth>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 16 - AP Comp Sci>>,32,0.711111111111111
Awesome Association,Japan Bowl,<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: Japan Bowl>>,32,0.551724137931034
Awesome Association,World History SOL Review (Yi),<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: World History SOL Review (Yi)>>,32,0.551724137931034
Cultivators of the Earth,Environmental Impact Club,<bound method EighthActivity.capacity of <EighthActivity: Cultivators of the Earth>>,<bound method EighthActivity.capacity of <EighthActivity: Environmental Impact Club>>,32,0.581818181818182
Assistive Technology Club,Business in Science,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: Business in Science>>,32,0.666666666666667
Awesome Association,MIT Launch,<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: MIT Launch>>,32,0.484848484848485
Awesome Association,Forensic Science Society,<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: Forensic Science Society>>,32,0.551724137931034
Medical Society,Korean Culture Club,<bound method EighthActivity.capacity of <EighthActivity: Medical Society>>,<bound method EighthActivity.capacity of <EighthActivity: Korean Culture Club>>,32,0.41025641025641
Spanish Tertulia Mateo,Relay For Life,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia Mateo>>,<bound method EighthActivity.capacity of <EighthActivity: Relay For Life>>,32,0.542372881355932
Cultivators of the Earth,Young Democrats,<bound method EighthActivity.capacity of <EighthActivity: Cultivators of the Earth>>,<bound method EighthActivity.capacity of <EighthActivity: Young Democrats>>,32,0.711111111111111
Latin Convention Meeting,Korean Culture Club,<bound method EighthActivity.capacity of <EighthActivity: Latin Convention Meeting>>,<bound method EighthActivity.capacity of <EighthActivity: Korean Culture Club>>,32,0.380952380952381
Awesome Association,Debate: Policy - Novice,<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Policy - Novice>>,32,0.551724137931034
Awesome Association,Debate: Lincoln-Douglas,<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Lincoln-Douglas>>,32,0.457142857142857
Asian Awareness,Product Design Club,<bound method EighthActivity.capacity of <EighthActivity: Asian Awareness>>,<bound method EighthActivity.capacity of <EighthActivity: Product Design Club>>,32,0.470588235294118
Awesome Association,Crew conditioning,<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: Crew conditioning>>,32,0.64
Awesome Association,Model UN,<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: Model UN>>,32,0.355555555555556
Chemistry Society,FBLA-Future Business Leaders of America,<bound method EighthActivity.capacity of <EighthActivity: Chemistry Society>>,<bound method EighthActivity.capacity of <EighthActivity: FBLA-Future Business Leaders of America>>,32,0.426666666666667
Awesome Association,Botball Robotics (R),<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: Botball Robotics (R)>>,32,0.551724137931034
Awesome Association,Lab 200 - Computer Systems,<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 200 - Computer Systems>>,32,0.64
Awesome Association,Multivar/AMT/DiffieQ tutoring DO NOT USE,<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: Multivar/AMT/DiffieQ tutoring DO NOT USE>>,32,0.470588235294118
Spanish Honor Society,Writing Conference (Kochman),<bound method EighthActivity.capacity of <EighthActivity: Spanish Honor Society>>,<bound method EighthActivity.capacity of <EighthActivity: Writing Conference (Kochman)>>,32,0.571428571428571
League of Legends,CS: Lab 211,<bound method EighthActivity.capacity of <EighthActivity: League of Legends>>,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,32,0.551724137931034
Awesome Association,Game Theory Society,<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: Game Theory Society>>,32,0.551724137931034
Dev Club,Awesome Association,<bound method EighthActivity.capacity of <EighthActivity: Dev Club>>,<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,32,0.533333333333333
Latin: Certamen,Korean Culture Club,<bound method EighthActivity.capacity of <EighthActivity: Latin: Certamen>>,<bound method EighthActivity.capacity of <EighthActivity: Korean Culture Club>>,32,0.571428571428571
Awesome Association,Chemistry Society,<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: Chemistry Society>>,32,0.492307692307692
Awesome Association,Choir,<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: Choir>>,32,0.355555555555556
Awesome Association,Debate: Public Forum,<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Public Forum>>,32,0.457142857142857
Latin: Certamen,Orchestra,<bound method EighthActivity.capacity of <EighthActivity: Latin: Certamen>>,<bound method EighthActivity.capacity of <EighthActivity: Orchestra>>,32,0.363636363636364
Neuroscience Society,Korean Culture Club,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,<bound method EighthActivity.capacity of <EighthActivity: Korean Culture Club>>,32,0.41025641025641
Dev Club,Assistive Technology Club,<bound method EighthActivity.capacity of <EighthActivity: Dev Club>>,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,32,0.666666666666667
